commentOrDocument,modifyDate,docketId,commentOnDocumentId,id,organization,firstName,lastName,title,comment,attachments,link
document,2024-10-14T01:00:58Z,BIS-2024-0047,,BIS-2024-0047-0001,,,,Reporting Requirements for the Development of Advanced Artificial Intelligence Models and Computing Clusters,,"[('Reporting Requirements for the Development of Advanced Artificial Intelligence Models and Computing Clusters', 'https://downloads.regulations.gov/BIS-2024-0047-0001/content.pdf')]",https://api.regulations.gov/v4/documents/BIS-2024-0047-0001
comment,2024-10-22T19:46:11Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0003,Americans for Prosperity Foundation,,,Public Comment 2. Other. Americans for Prosperity,See attached file(s),"[('2024.10.07 AFPF Regulatory Comment to BIS on DPA AI Reporting Requirements', 'https://downloads.regulations.gov/BIS-2024-0047-0003/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0003
comment,2024-10-22T19:46:30Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0036,Mozilla,,,Public Comment 31. U.S. Business. Mozilla,See attached file(s),"[('BIS_Reporting_Requirements_Response_Submission_2024-10-11', 'https://downloads.regulations.gov/BIS-2024-0047-0036/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0036
comment,2024-10-22T19:46:12Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0004,IBM,,,Public Comment 3. U.S. Business. IBM,See attached file(s),"[('RFC on BIS AI Rulemaking - Final', 'https://downloads.regulations.gov/BIS-2024-0047-0004/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0004
comment,2024-10-22T19:46:14Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0008,,,Madkour,"Public Comment 7. Individual. Anthony Barrett, Nada Madkour, Evan Murphy, Jessica Newman","To the Bureau of Industry and Security,<br/><br/>Thank you for the opportunity to submit comments in response to the proposed rule Establishment of Reporting Requirements for the Development of Advanced Artificial Intelligence Models and Computing Clusters (89 FR 73612) (RIN 0694-AJ55). We offer the following submission for your consideration. My colleagues and I are researchers affiliated with UC Berkeley, with expertise in AI research and development, safety, security, policy, and ethics (while we collaborated in drafting this comment, it is submitted in a personal capacity). <br/><br/>We agree with the text in the proposed rule that &ldquo;the U.S. Government needs information about how many U.S. companies are developing, have plans to develop, or have the computing hardware necessary to develop dual-use foundation models, as well as information about the characteristics of dual-use foundation models under development,&rdquo; and that &ldquo;the integration of AI models into the defense industrial base also requires the U.S. Government to take actions as needed to ensure that dual-use foundation models operate in a safe and reliable manner.&rdquo; Our research underscores that &ldquo;these models may operate in unpredictable or unreliable ways, potentially resulting in dangerous accidents,&rdquo; and we strongly agree that the U.S. Government needs information about how companies have tested the safety and reliability of their models, including red-teaming results and risk mitigation efforts. (See, e.g., our report &ldquo;Benchmark Early and Red Team Often: A Framework for Assessing and Managing Dual-Use Hazards of AI Foundation Models&rdquo;, Barrett et al. 2024.) Furthermore, we strongly agree that the U.S. Government must minimize the vulnerability of dual-use foundation models to cyberattacks, which will require information about companies&rsquo; cybersecurity measures, resources, and practices.<br/><br/>One key aspect of the proposed rule is that it provides some basic hard-law requirements for reasonable risk-management steps by developers of dual-use foundation models. Several leading developers currently carry out important risk management steps on a voluntary basis, and soft-law voluntary AI risk management standards serve a valuable role in AI governance. However, reasonable hard-law requirements and enforcement provide additional, worthwhile incentives for developers of dual-use foundation models to take important risk-management steps that can affect public safety, such as to help prevent bio- or cyber-attacks substantially assisted by malicious misuse of dual-use foundation models. (See, e.g., our &ldquo;Policy Brief on AI Risk Management Standards for General-Purpose AI Systems (GPAIS) and Foundation Models&rdquo;, Barrett, Newman et al. 2023). <br/><br/>We support the requirements and the outlined approach defined in the Reporting Requirements, including quarterly reporting from companies developing dual-use foundation models or large-scale computing clusters. The quarterly notification schedule is appropriate because it allows for extremely minimal reporting in instances where companies have no notable changes. Given the pace of change in the field, this frequency is warranted and important for timely information gathering. <br/><br/>We also encourage consideration of refinements to the collection threshold for dual-use foundation models. Close monitoring of new models, and trends in hardware and algorithmic efficiency, may indicate that substantial dual-use capabilities could be present in models with training runs utilizing lower or higher amounts of computational operations than the currently proposed thresholds. <br/><br/>Our best,<br/><br/>Anthony Barrett, Ph.D., PMP<br/>Visiting Scholar<br/>AI Security Initiative, Center for Long-Term Cybersecurity, UC Berkeley<br/><br/>Nada Madkour, Ph.D.<br/>Non-Resident Research Fellow<br/>AI Security Initiative, Center for Long-Term Cybersecurity, UC Berkeley<br/><br/>Evan R. Murphy<br/>Non-Resident Research Fellow<br/>AI Security Initiative, Center for Long-Term Cybersecurity, UC Berkeley<br/><br/>Jessica Newman<br/>Director<br/>AI Security Initiative, Center for Long-Term Cybersecurity, UC Berkeley<br/>Co-Director<br/>AI Policy Hub, UC Berkeley<br/><br/>References <br/>Anthony M. Barrett, Krystal Jackson, Evan R. Murphy, Nada Madkour, Jessica Newman (2024). Benchmark Early and Red Team Often: A Framework for Assessing and Managing Dual-Use Hazards of AI Foundation Models. arXiv preprint, https://arxiv.org/abs/2405.10986<br/><br/>Anthony M. Barrett, Jessica Newman, and Brandie Nonnecke (2023) Policy Brief on AI Risk Management Standards for General-Purpose AI Systems (GPAIS) and Foundation Models. UC Berkeley Center for Long-Term Cybersecurity, https://cltc.berkeley.edu/publication/policy-brief-on-ai-risk-management-standards-for-general-purpose-ai-systems-gpais-and-foundation-models/ <br/><br/>Attached is a PDF copy of our comment including links to the cited resources. ","[('Comment on Development of Advanced Artificial Intelligence Models and Computing Clusters (RIN 0694-AJ55) NMadkour', 'https://downloads.regulations.gov/BIS-2024-0047-0008/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0008
comment,2024-10-22T19:46:12Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0005,Center for AI Policy,,,Public Comment 4. Other. Center for AI Policy,See attached file(s).,"[('RFC _ Reporting Requirements', 'https://downloads.regulations.gov/BIS-2024-0047-0005/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0005
comment,2024-10-22T19:46:10Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0002,,,Renner,Public Comment 1. Individual. Erik Renner. 09/16/24,See attached file(s),"[('Commnet on Reporting Requirements for AI', 'https://downloads.regulations.gov/BIS-2024-0047-0002/attachment_1.docx')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0002
comment,2024-10-22T19:46:18Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0016,,,Anonymous,Public Comment 13. Individual. Anonymous (2)- Part 3 of 7,"PUBLIC COMMENT CONTINUED<br/>RIN 0694-AJ55 <br/>October 11, 2024<br/><br/>III. QUARTERLY REPORTING WOULD IMPOSE EXTREME BURDENS THAT ARE NOT SUPPORTED BY THE STATED GOALS OF THE PROPOSED RULE.<br/><br/>The proposed rule would require companies that are (or will be) engaged in covered activities to submit reports on a quarterly basis. BIS states that these reporting requirements &ldquo;are expected to apply to only a small number of entities&rdquo; and estimates the number of respondents that exceed the reporting thresholds for models and computing clusters is between zero and 15 companies. At the same time BIS provides &ldquo;an estimated burden of 5,000 hours per year aggregated across all new respondents.&rdquo; This signals an extremely burdensome compliance obligation per respondent that would effectively mean that respondents are in a constant state of preparing reports, submitting reports, and responding to questions from BIS regarding reports.<br/><br/>Although BIS proposes to allow additions, updates or changes to the information provided on previous surveys submitted by a respondent, this does not alleviate the burden on respondents because they must still expend significant employee time and resources to determine whether such updates are required while at the same time evaluating their ongoing reporting requirements and respond to BIS questions. This is especially true given the detailed and lengthy nature of information normally required by BIS in industry surveys.<br/><br/>The proposed rule does not explain why quarterly reporting, or even annual reporting, is necessary instead of one-time reports. As noted above, BIS states that it needs quarterly reports for information &ldquo;that will allow the U.S. Government to determine whether action is necessary to stimulate development of dual-use foundation models or to support the development of specific types of models.&rdquo; However, this is similar to the rationales provided for other industrial base surveys, including those in the U.S. microelectronics and space industries as well as BIS&rsquo;s previous survey of the U.S. AI industry which addressed areas of national security concern, but only involved a one-time reporting requirement.","[('image', 'https://downloads.regulations.gov/BIS-2024-0047-0016/attachment_1.png')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0016
comment,2024-10-22T19:46:19Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0018,,,Anonymous,Public Comment 13. Individual. Anonymous (2)- Part 5 of 7,"PUBLIC COMMENT CONTINUED<br/>RIN 0694-AJ55 <br/>October 11, 2024<br/><br/>V. BIS SHOULD ELIMINATE AND/OR CLARIFY EMPLOYEE REPORTING OBLIGATIONS.<br/><br/>AI TRAINING RUN REPORTING<br/><br/>The AI training run reporting requirements are broader than the mandate in EO 14110 and should be revised to be consistent with that mandate. Section 4.2(a)(i) of EO 14110, directs the Secretary of Commerce to require &ldquo;Companies developing or demonstrating an intent to develop potential dual-use foundation models to provide the Federal Government, on an ongoing basis, with information, reports, or records&hellip;&rdquo;  The AI model training run reporting requirement at section 702.7(a)(1)(i), however, extends to &ldquo;covered U.S. persons,&rdquo; which per proposed section 701.7(c) would be defined to include any individual U.S. citizen, lawful permanent resident, or any person (individual) located in the United States.<br/><br/>Insofar as proposed section 702.7(a)(i) would require employees to report AI model training runs by their company, it is inconsistent with section 4.2(a)(i) of EO 14110, which directs the Secretary of Commerce to require &ldquo;Companies developing or demonstrating an intent to develop potential dual-use foundation models to provide the Federal Government, on an ongoing basis, with information, reports, or records&hellip;&rdquo;  In addition to going beyond the mandate of EO 14110, applying the reporting requirement to individual employees appears to be beyond the stated policy intent, which is focused on the U.S. industrial base.<br/><br/>BIS should therefore revise proposed section 702.7(a)(1)(i) to reflect that the AI model training reporting requirement is triggered and reportable by the U.S. organization, company, or corporation engaged in the applicable activity [recommended edits in CAPS]:<br/><br/>(a) Reporting Requirements<br/>(1) As set forth below, U.S. Covered persons or U.S. organizations, companies, and corporations are required to submit a notification to the Department by emailing ai_reporting@bis.doc.gov on a quarterly basis as defined in paragraph (a)(2) of this section if the relevant party engages in, or plans, within six months, to engage in &lsquo;applicable activities,&rsquo; defined as follows:<br/>(i) US ORGANIZATIONS, COMPANIES, AND CORPORATIONS [c]onducting any AI model training run using more than 10^26 computational operations (e.g., integer or floating-point operations);<br/><br/>At a minimum, if BIS is unable to make the revision above, BIS should clarify that reports on AI model training are only required for U.S. entities, and not for U.S. person employees of U.S. or non-U.S. entities, even if they are involved in AI model training in the course of their employment.<br/><br/>COMPUTER CLUSTER REPORTING<br/><br/>Proposed section 702.7(a)(ii) requires reporting by both companies and individuals who acquire, develop, or come into possession of a computing cluster exceeding specified thresholds.  While consistent with the EO 14110 mandate at Section 4.2(ii) which instructs the Secretary of Commerce to require &ldquo;Companies, individuals, or other organizations or entities that acquire, develop, or possess a potential large-scale computing cluster to report any such acquisition, development, or possession, including the existence and location of these clusters and the amount of total computing power available in each cluster,&rdquo; the proposed rule is broader than BIS&rsquo;s statement in the preamble where it describes that it is &ldquo;exercising its DPA authority, . . . to collect information from U.S. companies that are developing, have plans to develop, or have the computing hardware necessary to develop dual-use foundation models.&rdquo;<br/><br/>To the extent that BIS intends to require computing cluster reporting by individual U.S. persons, BIS should clarify that the requirement does not apply to individual employees of U.S. companies engaged in such activities and should provide guidance on scope of the individual reporting requirements. Such guidance should, at a minimum, confirm that:<br/>&bull;  An employee is not required to submit a report when his/her company has already submitted a report on the applicable activity to BIS.<br/>&bull;  An individual only has a reporting obligation when they are acting on their own behalf.<br/>&bull;  An employee executing their non-discretionary duties (e.g., processing a procurement order; installing or servicing hardware) is not engaged in the acquisition, development, or gaining possession of a computing cluster as contemplated in proposed section 702.7(a)(ii).<br/>&bull;  A U.S. person&rsquo;s mere use of a computing cluster located outside the United States that exceeds a stated threshold does not constitute the acquisition, development, or possession of a computing cluster.","[('image', 'https://downloads.regulations.gov/BIS-2024-0047-0018/attachment_1.png')]",https://api.regulations.gov/v4/comments/BIS-2024-0047-0018
comment,2024-10-22T19:46:14Z,BIS-2024-0047,BIS-2024-0047-0001,BIS-2024-0047-0009,,,Belmona,Public Comment 8. Individual. Amanda Belmona,"Dear Thea D. Rozman Kendler, <br/><br/>I support the proposed rule establishing reporting requirements for developing advanced artificial intelligence (AI) models and computing clusters. As AI continues to play an increasingly significant role in various sectors, including healthcare, finance, and national security, it is crucial to implement oversight mechanisms that ensure responsible development and deployment of these technologies. This proposed rule will provide necessary transparency, helping mitigate AI risks, such as bias, ethical concerns, and potential misuse.<br/>The establishment of reporting requirements will not only enhance accountability among developers and contribute to a more comprehensive understanding of AI&rsquo;s societal impacts. We can facilitate better collaboration between government agencies, private industry, and academic institutions by requiring developers to disclose information about their AI models and computing resources. Research indicates that transparent AI practices can increase public trust and acceptance of AI technologies (Nabavi &amp; Browne, 2023). Furthermore, studies have shown that organizations that adopt transparent AI practices are more likely to foster inclusive innovation, ensuring that diverse perspectives are considered in the development process (West et al., 2019). Additionally, implementing these reporting requirements aligns with global best practices for AI governance. The OECD&rsquo;s &ldquo;Principles on Artificial Intelligence&rdquo; emphasize the importance of transparency and accountability in AI systems, which can help build a solid framework for ethical AI development (OECD, 2024, pg 6). By adopting similar reporting standards, the U.S. can position itself as a leader in ethical AI practices and ensure that innovations benefit society while addressing potential risks.<br/>While some argue that these reporting requirements could stifle innovation or impose unnecessary burdens on developers, it is essential to recognize that transparency and responsible development do not have to come at the expense of innovation. Instead, these requirements can be a foundation for fostering ethical practices, leading to more robust and reliable AI solutions. We can address societal concerns by prioritizing responsible AI development while encouraging progress in this transformative field. I strongly support the proposed reporting requirements for advanced AI models and computing clusters. Implementing these measures will enhance accountability, promote ethical development, and help ensure that AI technologies benefit society. <br/><br/>Sincerely,<br/>Amanda Belmona<br/><br/>References:<br/>Nabavi, E., &amp; Browne, C. (2023). Leverage zones in Responsible AI: towards a systems thinking conceptualization. Humanities and Social Sciences Communications, 10(1). https://doi.org/10.1057/s41599-023-01579-0<br/>West, S.M., Whittaker, M. &amp; Crawford, K. (2019). Discriminating Systems: Gender, Race, and Power in AI. AI Now Institute. https://ainowinstitute.org/publication/discriminating-systems-gender-race-and-power-in-ai-2<br/>OECD (2024). OECD updates AI Principles to stay abreast of rapid technological developments. https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html<br/>",[],https://api.regulations.gov/v4/comments/BIS-2024-0047-0009
