commentOrDocument,modifyDate,docketId,commentOnDocumentId,id,organization,firstName,lastName,title,comment,attachments,link
document,2024-02-03T20:19:32Z,NIST-2023-0009,,NIST-2023-0009-0001,,,,"Request for Information (RFI) Related to NIST’s Assignments Under Sections 4.1, 4.5 and 11 of the Executive Order Concerning Artificial Intelligence (Sections 4.1, 4.5, and 11)",,"[('Request for Information (RFI) Related to NIST’s Assignments Under Sections 4.1, 4.5 and 11 of the Executive Order Concerning Artificial Intelligence (Sections 4.1, 4.5, and 11)', 'https://downloads.regulations.gov/NIST-2023-0009-0001/content.pdf'), ('2023-28232', 'https://downloads.regulations.gov/NIST-2023-0009-0001/attachment_1.pdf')]",https://api.regulations.gov/v4/documents/NIST-2023-0009-0001
comment,2024-02-01T22:28:21Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0035,,,Minerva,Comment on FR Doc # 2023-28232,See attached file(s),"[('NIST AI Executive Order', 'https://downloads.regulations.gov/NIST-2023-0009-0035/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0035
comment,2024-02-01T22:29:34Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0040,"Duality Technologies, Inc.",,,Comment on FR Doc # 2023-28232,"Attached please find comments from Duality Technologies, a provider of privacy technologies used to secure AI and enable AI collaborations. Thank you very much. ","[('Duality Technologies Response to Request for Information vSUBMITTED', 'https://downloads.regulations.gov/NIST-2023-0009-0040/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0040
comment,2024-02-01T22:30:12Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0041,,,Scheller,Comment on FR Doc # 2023-28232,See attached file(s),"[('Final Draft MAIC NIST AI EXECUTIVE ORDER', 'https://downloads.regulations.gov/NIST-2023-0009-0041/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0041
comment,2024-02-01T22:28:39Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0036,Coalition for Content Provenance and Authenticity (C2PA),,,Comment on FR Doc # 2023-28232,"Dear Director Locascio, <br/><br/>My name is Mounir Ibrahim and I am submitting comments to the Request for Information (RFI) Related to NIST&#39;s Assignments Under Sections 4.1, 4.5 and 11 of the Executive Order Concerning Artificial Intelligence on behalf of the Coalition for Content Provenance and Authenticity (C2PA). <br/><br/>Please see the attached letter signed by the C2PA Chairman, Andrew Jenks. <br/><br/>Do let us know if any problems opening the document or if there are any questions. <br/><br/>Thank you for your consideration. <br/><br/>","[('Submission - C2PA NIST AI RFI Signed', 'https://downloads.regulations.gov/NIST-2023-0009-0036/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0036
comment,2024-02-01T17:13:05Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0024,StakeOut.AI,,,Comment on FR Doc # 2023-28232,See attached file(s),"[('StakeOut.AI NIST Comment_1Feb2024', 'https://downloads.regulations.gov/NIST-2023-0009-0024/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0024
comment,2024-02-01T17:03:36Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0007,"National Federation of Independent Business, Inc.",,,Comment on FR Doc # 2023-28232,"NFIB (National Federation of Independent Business) comment letter of January 10, 2024, in response to Department of Commerce/NIST Notice Titled &quot;Request for Information (RFI) Related to NIST&#39;s Assignments Under Sections 4.1, 4.5, and 11 of Executive Order Concerning Artificial Intelligence (Sections 4.1, 4.5, and 11),&quot; Docket No. 231218-0309, NIST-2023-0309, 88 Fed. Reg. 88368 (December 21,2023), is attached.","[('NFIBcommentlettertoDeptofCommerceNISTonArtificialIntellligenceJanuary10of2024', 'https://downloads.regulations.gov/NIST-2023-0009-0007/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0007
comment,2024-02-01T17:05:23Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0012,,,Delaney,Comment on FR Doc # 2023-28232,"Hello, I&#39;ve attached my response to the RFI. I&#39;m writing as an individual outside the industry. My educational background is in mechanical engineering. Thanks, Joseph","[('NIST RFI Response', 'https://downloads.regulations.gov/NIST-2023-0009-0012/attachment_1.docx')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0012
comment,2024-02-01T17:12:29Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0023,,,,Comment on FR Doc # 2023-28232,"The City of New York (&ldquo;City&rdquo;), through its Office of Technology and Innovation (&ldquo;OTI&rdquo;), submits the attached response to the National Institute of Standards and Technology&rsquo;s (&ldquo;NIST&rdquo;) Request for Information Related to NIST&rsquo;s Assignments Under Sections 4.1, 4.5 and 11 of the Executive Order Concerning Artificial Intelligence.","[('OTI Response NIST RFC FINAL', 'https://downloads.regulations.gov/NIST-2023-0009-0023/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0023
comment,2024-02-01T17:01:10Z,NIST-2023-0009,NIST-2023-0009-0001,NIST-2023-0009-0004,,,Swope,Comment on FR Doc # 2023-28232,"This submission presents a focused strategy for aligning with Executive Order (EO) 14110, enhancing Governance, Risk, and Compliance (GRC) by leveraging NIST&#39;s Artificial Intelligence (AI) Risk Management Framework (RMF). The response focuses on concrete, practical enhancements in AI utilization, specifically targeting systemic issues like organizational tribalism, departmental silos, and the management of Generative AI (GenAI) and Large Language Models (LLMs). The strategy boosts performance, leverages AI advancements for growth, and improves operational efficiency. Central to this plan is extensive AI practice enhancements and the introduction of innovative GRC tools, including a specialized Microsoft Excel Tool that can be scaled across public and private GRC AI Executive decision-making systems.","[('Attachment1_SWOPE EO 14110 NIST RFI', 'https://downloads.regulations.gov/NIST-2023-0009-0004/attachment_1.pdf'), ('Attachment2_SWOPE EO 14110 NIST RFI SUPP EXCEL TOOL', 'https://downloads.regulations.gov/NIST-2023-0009-0004/attachment_2.pdf')]",https://api.regulations.gov/v4/comments/NIST-2023-0009-0004
